filename,num_stocks,combinations,processes,execution_time,window,period
nasdaq_screener_1636426496281.csv,100,4950,1,2.36,2W,10
nasdaq_screener_1636426496281.csv,100,4950,2,1.73,2W,10
nasdaq_screener_1636426496281.csv,100,4950,4,1.41,2W,10
nasdaq_screener_1636426496281.csv,100,4950,6,1.39,2W,10
nasdaq_screener_1636426496281.csv,100,4950,8,1.50,2W,10
nasdaq_screener_1636426496281.csv,100,4950,10,1.66,2W,10
nasdaq_screener_1636426496281.csv,100,4950,12,1.76,2W,10
nasdaq_screener_1636426496281.csv,200,19900,1,6.29,2W,10
nasdaq_screener_1636426496281.csv,200,19900,2,3.79,2W,10
nasdaq_screener_1636426496281.csv,200,19900,4,2.50,2W,10
nasdaq_screener_1636426496281.csv,200,19900,6,2.22,2W,10
nasdaq_screener_1636426496281.csv,200,19900,8,2.21,2W,10
nasdaq_screener_1636426496281.csv,200,19900,10,2.35,2W,10
nasdaq_screener_1636426496281.csv,200,19900,12,2.44,2W,10
nasdaq_screener_1636426496281.csv,300,44850,1,12.76,2W,10
nasdaq_screener_1636426496281.csv,300,44850,2,7.26,2W,10
nasdaq_screener_1636426496281.csv,300,44850,4,4.30,2W,10
nasdaq_screener_1636426496281.csv,300,44850,6,3.52,2W,10
nasdaq_screener_1636426496281.csv,300,44850,8,3.35,2W,10
nasdaq_screener_1636426496281.csv,300,44850,10,3.34,2W,10
nasdaq_screener_1636426496281.csv,300,44850,12,3.27,2W,10
nasdaq_screener_1636426496281.csv,400,79800,1,21.74,2W,10
nasdaq_screener_1636426496281.csv,400,79800,2,12.08,2W,10
nasdaq_screener_1636426496281.csv,400,79800,4,6.93,2W,10
nasdaq_screener_1636426496281.csv,400,79800,6,5.27,2W,10
nasdaq_screener_1636426496281.csv,400,79800,8,4.90,2W,10
nasdaq_screener_1636426496281.csv,400,79800,10,4.74,2W,10
nasdaq_screener_1636426496281.csv,400,79800,12,4.71,2W,10
nasdaq_screener_1636426496281.csv,500,124750,1,32.97,2W,10
nasdaq_screener_1636426496281.csv,500,124750,2,17.68,2W,10
nasdaq_screener_1636426496281.csv,500,124750,4,10.04,2W,10
nasdaq_screener_1636426496281.csv,500,124750,6,7.54,2W,10
nasdaq_screener_1636426496281.csv,500,124750,8,6.93,2W,10
nasdaq_screener_1636426496281.csv,500,124750,10,6.40,2W,10
nasdaq_screener_1636426496281.csv,500,124750,12,6.27,2W,10
nasdaq_screener_1636426496281.csv,600,179700,1,46.89,2W,10
nasdaq_screener_1636426496281.csv,600,179700,2,25.04,2W,10
nasdaq_screener_1636426496281.csv,600,179700,4,13.91,2W,10
nasdaq_screener_1636426496281.csv,600,179700,6,10.28,2W,10
nasdaq_screener_1636426496281.csv,600,179700,8,8.95,2W,10
nasdaq_screener_1636426496281.csv,600,179700,10,8.50,2W,10
nasdaq_screener_1636426496281.csv,600,179700,12,8.17,2W,10
nasdaq_screener_1636426496281.csv,700,244650,1,61.76,2W,10
nasdaq_screener_1636426496281.csv,700,244650,2,33.06,2W,10
nasdaq_screener_1636426496281.csv,700,244650,4,18.22,2W,10
nasdaq_screener_1636426496281.csv,700,244650,6,13.26,2W,10
nasdaq_screener_1636426496281.csv,700,244650,8,11.56,2W,10
nasdaq_screener_1636426496281.csv,700,244650,10,10.97,2W,10
nasdaq_screener_1636426496281.csv,700,244650,12,10.41,2W,10
nasdaq_screener_1636426496281.csv,800,319600,1,79.71,2W,10
nasdaq_screener_1636426496281.csv,800,319600,2,42.51,2W,10
nasdaq_screener_1636426496281.csv,800,319600,4,23.87,2W,10
nasdaq_screener_1636426496281.csv,800,319600,6,16.81,2W,10
nasdaq_screener_1636426496281.csv,800,319600,8,14.56,2W,10
nasdaq_screener_1636426496281.csv,800,319600,10,13.82,2W,10
nasdaq_screener_1636426496281.csv,800,319600,12,13.12,2W,10
