,stock1,stock2,signal,max_correlation,max_lag
0,GOOG,GOOGL,sm_pct_chg,1359.8224179458955,0.0
1,LBRDK,LBRDA,sm_pct_chg,1285.3660596894774,0.0
2,SPGI,MCO,sm_pct_chg,1256.6504360466392,0.0
3,AMX,AMOV,sm_pct_chg,1249.8334578618342,0.0
4,CHTR,LBRDA,sm_pct_chg,1248.1694943167722,0.0
5,CHTR,LBRDK,sm_pct_chg,1242.8455110564253,0.0
6,CCL,CUK,sm_pct_chg,1236.7525768085363,0.0
7,V,MA,sm_pct_chg,1235.658820104767,0.0
8,BHP,BBL,sm_pct_chg,1232.0866411129168,0.0
9,JPM,BAC,sm_pct_chg,1207.3474385944505,0.0
10,BBD,BBDO,sm_pct_chg,1200.6327191933053,0.0
11,AMAT,LRCX,sm_pct_chg,1196.384811047253,0.0
12,AVB,EQR,sm_pct_chg,1195.190351725273,0.0
13,RY,CM,sm_pct_chg,1191.0617999694023,0.0
14,MAR,HLT,sm_pct_chg,1190.5749889535923,0.0
15,WM,RSG,sm_pct_chg,1188.9373512424513,0.0
16,BMO,CM,sm_pct_chg,1186.9467591791417,0.0
17,JPM,PNC,sm_pct_chg,1184.0797962491536,0.0
18,ITUB,BBD,sm_pct_chg,1183.9833514749278,0.0
19,RY,TD,sm_pct_chg,1182.8427514838847,0.0
20,TFC,FITB,sm_pct_chg,1181.1198741180488,0.0
21,RY,BMO,sm_pct_chg,1180.6649568026355,0.0
22,SNPS,CDNS,sm_pct_chg,1180.4667920544744,0.0
23,DHI,LEN,sm_pct_chg,1174.4350825506353,0.0
24,XEL,WEC,sm_pct_chg,1172.0566126102053,0.0
25,TTE,E,sm_pct_chg,1171.4930777974405,0.0
26,BBL,RIO,sm_pct_chg,1169.1729036194993,0.0
27,BAC,PNC,sm_pct_chg,1169.100644907906,0.0
28,MSFT,ADBE,sm_pct_chg,1168.6237052480556,0.0
29,BHP,RIO,sm_pct_chg,1165.8170295029665,0.0
30,PSX,VLO,sm_pct_chg,1164.9710213541464,0.0
31,VMC,MLM,sm_pct_chg,1164.3745932925754,0.0
32,RY,BNS,sm_pct_chg,1160.9541195548127,0.0
33,COF,DFS,sm_pct_chg,1158.7581318132147,0.0
34,TD,BMO,sm_pct_chg,1156.8415075712387,-1.0
35,SAN,BBVA,sm_pct_chg,1155.077571937688,0.0
36,PSA,EXR,sm_pct_chg,1151.9574788173793,0.0
37,MUFG,SMFG,sm_pct_chg,1150.0167416277252,0.0
38,LYG,NWG,sm_pct_chg,1149.9196751991099,0.0
39,UNP,NSC,sm_pct_chg,1149.6242051159834,0.0
40,PNC,FITB,sm_pct_chg,1149.3178720750889,0.0
41,TD,BNS,sm_pct_chg,1148.2830231464025,0.0
42,ITUB,BBDO,sm_pct_chg,1147.8920126995286,0.0
43,USB,FITB,sm_pct_chg,1147.4453016740274,0.0
44,COP,EOG,sm_pct_chg,1143.7671632580996,0.0
45,TTE,BP,sm_pct_chg,1143.7390675624792,-1.0
46,AMT,CCI,sm_pct_chg,1143.416282604695,0.0
47,JPM,FITB,sm_pct_chg,1142.35818307048,0.0
48,CSX,NSC,sm_pct_chg,1142.0525489598253,0.0
49,BSBR,ITUB,sm_pct_chg,1139.6270743723142,0.0
50,DFS,SYF,sm_pct_chg,1137.831560139751,0.0
51,BAC,FITB,sm_pct_chg,1135.8179494363872,0.0
52,BSBR,BBD,sm_pct_chg,1135.805864488831,0.0
53,MET,PRU,sm_pct_chg,1135.775377598362,0.0
54,MS,GS,sm_pct_chg,1135.3646034520998,0.0
55,UNH,ANTM,sm_pct_chg,1132.9505568647917,-1.0
56,JPM,C,sm_pct_chg,1132.3696462477983,0.0
57,CNQ,CVE,sm_pct_chg,1132.129747722506,-1.0
58,PNC,TFC,sm_pct_chg,1131.9563834499547,-1.0
59,JPM,USB,sm_pct_chg,1131.954233002833,0.0
60,JPM,MS,sm_pct_chg,1129.9319844759148,0.0
61,BNS,CM,sm_pct_chg,1129.8252280226693,0.0
62,TD,CM,sm_pct_chg,1128.8894016639779,0.0
63,USB,TFC,sm_pct_chg,1128.1406955135599,0.0
64,CNQ,SU,sm_pct_chg,1127.8770010704004,-1.0
65,MFC,SLF,sm_pct_chg,1126.7158269605716,0.0
66,XEL,ES,sm_pct_chg,1126.4023618827914,0.0
67,BNS,BMO,sm_pct_chg,1125.818896751829,0.0
68,HON,AME,sm_pct_chg,1125.6194507680918,0.0
69,AMAT,KLAC,sm_pct_chg,1125.5684155914382,0.0
70,HD,LOW,sm_pct_chg,1125.0211092802456,0.0
71,AEP,XEL,sm_pct_chg,1123.9698983005696,0.0
72,MMC,AON,sm_pct_chg,1123.390750626455,0.0
73,JPM,TFC,sm_pct_chg,1121.135670864207,0.0
74,BP,E,sm_pct_chg,1120.7294031273377,1.0
75,PH,AME,sm_pct_chg,1119.4598587241426,0.0
76,USB,PNC,sm_pct_chg,1119.0488936554689,0.0
77,ETN,DOV,sm_pct_chg,1118.8897415424365,0.0
78,BAC,C,sm_pct_chg,1118.4183168633294,0.0
79,EOG,DVN,sm_pct_chg,1117.420399245296,0.0
80,XOM,CVX,sm_pct_chg,1117.068878243192,0.0
81,BAC,USB,sm_pct_chg,1116.4561797175652,0.0
82,BMO,MFC,sm_pct_chg,1115.3513966940318,0.0
83,BK,STT,sm_pct_chg,1114.737335914725,0.0
84,BMO,PRU,sm_pct_chg,1114.4467423634994,0.0
85,MPC,VLO,sm_pct_chg,1114.3725484148604,0.0
86,EOG,PXD,sm_pct_chg,1113.535827977652,0.0
87,CCI,SBAC,sm_pct_chg,1112.5652222471776,0.0
88,CB,TRV,sm_pct_chg,1112.2266157492372,-1.0
89,EMR,PH,sm_pct_chg,1111.8738101150986,0.0
90,EOG,SLB,sm_pct_chg,1111.5311931146339,0.0
91,RSG,WCN,sm_pct_chg,1110.6075759681225,-1.0
92,AME,DOV,sm_pct_chg,1108.9274378733485,0.0
93,RY,PRU,sm_pct_chg,1106.1464017038536,0.0
94,COP,DVN,sm_pct_chg,1105.8764987379564,0.0
95,ADI,MCHP,sm_pct_chg,1105.108320698829,0.0
96,EPD,OKE,sm_pct_chg,1103.7140236103123,-1.0
97,XOM,COP,sm_pct_chg,1103.432863723595,0.0
98,PRU,FITB,sm_pct_chg,1102.4774871701447,0.0
99,COF,FITB,sm_pct_chg,1102.391507777156,1.0
100,JPM,PRU,sm_pct_chg,1101.0273446716092,-1.0
101,BAC,PRU,sm_pct_chg,1101.024923059515,0.0
102,AMT,SBAC,sm_pct_chg,1099.3751061258909,0.0
103,RY,MFC,sm_pct_chg,1099.1524607066779,0.0
104,NEE,AWK,sm_pct_chg,1098.044172795962,-1.0
105,C,PRU,sm_pct_chg,1097.9493183460017,0.0
106,BAC,TFC,sm_pct_chg,1097.3404171251118,0.0
107,BP,SU,sm_pct_chg,1096.6502220041282,-1.0
108,PRU,MFC,sm_pct_chg,1096.6252620168289,0.0
109,ORLY,AZO,sm_pct_chg,1096.362997455201,0.0
110,CVX,SU,sm_pct_chg,1095.5838915906484,0.0
111,COP,SU,sm_pct_chg,1094.8676154746963,-1.0
112,XOM,EOG,sm_pct_chg,1094.0113073433045,0.0
113,LRCX,KLAC,sm_pct_chg,1093.8662338498043,0.0
114,MET,MFC,sm_pct_chg,1093.0579049147582,0.0
115,UNH,HUM,sm_pct_chg,1092.9786143661358,0.0
116,EMR,DOV,sm_pct_chg,1092.5874098870222,0.0
117,CVX,COP,sm_pct_chg,1091.8316050402887,0.0
118,TJX,ROST,sm_pct_chg,1091.1221048727928,1.0
119,MET,FITB,sm_pct_chg,1090.7749956564594,0.0
120,PH,ROK,sm_pct_chg,1090.6398514845728,0.0
